82 nodes
201 edges
AaAa 0.000000 AbAc 2.217384 AcAd 2.217384 AdAe 2.217384 AeAf 2.217384 
AfAg 2.217384 AgAh 2.217384 AhAi 2.217384 AiAj 2.217384 AjAk 2.217384 
AkAl 2.217384 AlAm 2.217384 AmAn 2.217384 AnAo 2.217384 AoAp 2.217384 
ApAq 2.217384 AqAr 2.217384 ArAs 2.217384 AsAt 2.217384 AtAu 2.217384 
AuAv 2.217384 AvAw 2.217384 AwAx 2.217384 AxAy 2.217384 AyAz 2.217384 
AzBa 2.217384 BaBb 2.217384 BbBc 2.217384 BcBd 2.217384 BdBe 2.217384 
BeAb 2.217384 AbAa 11.003574 AcAa 11.003574 AdAa 11.003574 AeAa 11.003574 
AfAa 11.003574 AgAa 11.003574 AhAa 11.003574 AiAa 11.003574 AjAa 11.003574 
AkAa 11.003574 AlAa 11.003574 AmAa 11.003574 AnAa 11.003574 AoAa 11.003574 
ApAa 11.003574 AqAa 11.003574 ArAa 11.003574 AsAa 11.003574 AtAa 11.003574 
AuAa 11.003574 AvAa 11.003574 AwAa 11.003574 AxAa 11.003574 AyAa 11.003574 
AzAa 11.003574 BaAa 11.003574 BbAa 11.003574 BcAa 11.003574 BdAa 11.003574 
BeAa 11.003574 BfBg 4.693034 BgBh 4.693034 BhBi 4.693034 BiBj 4.693034 
BjBk 4.693034 BkBl 4.693034 BlBm 4.693034 BmBn 4.693034 BnBo 4.693034 
BoBp 4.693034 BpBq 4.693034 BqBr 4.693034 BrBs 4.693034 BsBt 4.693034 
BtBu 4.693034 BuBv 4.693034 BvBw 4.693034 BwBx 4.693034 BxBy 4.693034 
ByBf 4.693034 BfAb 8.324779 BgAc 8.428824 BiAd 10.579811 BjAe 11.404927 
BlAf 15.112941 BmAg 16.064781 BoAh 19.685020 BpAi 20.512454 BrAj 23.379457 
BsAk 23.969400 BuAl 25.750099 BvAm 26.042050 BxAn 26.564978 ByAo 26.532149 
BfAp 26.433779 BfAq 26.564978 BfAr 26.433779 BfAs 26.042050 BfAt 25.395425 
BfAu 24.503389 BfAv 23.379457 BfAw 22.041520 BfAx 20.512454 BfAy 18.821245 
BfAz 17.005040 BfBa 15.112941 BfBb 13.213022 BfBc 11.404927 BfBd 9.839289 
BfBe 8.732430 BzCa 2.217384 CaCb 2.217384 CbCc 2.217384 CcCd 2.217384 
CdCe 2.217384 CeCf 2.217384 CfCg 2.217384 CgCh 2.217384 ChCi 2.217384 
CiCj 2.217384 CjCk 2.217384 CkCl 2.217384 ClCm 2.217384 CmCn 2.217384 
CnCo 2.217384 CoCp 2.217384 CpCq 2.217384 CqCr 2.217384 CrCs 2.217384 
CsCt 2.217384 CtCu 2.217384 CuCv 2.217384 CvCw 2.217384 CwCx 2.217384 
CxCy 2.217384 CyCz 2.217384 CzDa 2.217384 DaDb 2.217384 DbDc 2.217384 
DcBz 2.217384 BzBf 8.324779 CaBg 8.428824 CbBi 10.579811 CcBj 11.404927 
CdBl 15.112941 CeBm 16.064781 CfBo 19.685020 CgBp 20.512454 ChBr 23.379457 
CiBs 23.969400 CjBu 25.750099 CkBv 26.042050 ClBx 26.564978 CmBy 26.532149 
CnBf 26.433779 CoBf 26.564978 CpBf 26.433779 CqBf 26.042050 CrBf 25.395425 
CsBf 24.503389 CtBf 23.379457 CuBf 22.041520 CvBf 20.512454 CwBf 18.821245 
CxBf 17.005040 CyBf 15.112941 CzBf 13.213022 DaBf 11.404927 DbBf 9.839289 
DcBf 8.732430 DdBz 11.003574 DdCa 11.003574 DdCb 11.003574 DdCc 11.003574 
DdCd 11.003574 DdCe 11.003574 DdCf 11.003574 DdCg 11.003574 DdCh 11.003574 
DdCi 11.003574 DdCj 11.003574 DdCk 11.003574 DdCl 11.003574 DdCm 11.003574 
DdCn 11.003574 DdCo 11.003574 DdCp 11.003574 DdCq 11.003574 DdCr 11.003574 
DdCs 11.003574 DdCt 11.003574 DdCu 11.003574 DdCv 11.003574 DdCw 11.003574 
DdCx 11.003574 DdCy 11.003574 DdCz 11.003574 DdDa 11.003574 DdDb 11.003574 
DdDc 11.003574 
10.000000 0.000000 0.000000
7.071068 10.606602 0.000000
7.071068 10.374822 2.205236
7.071068 9.689613 4.314094
7.071068 8.580921 6.234404
7.071068 7.097202 7.882241
7.071068 5.303301 9.185587
7.071068 3.277620 10.087478
7.071068 1.108692 10.548498
7.071068 -1.108692 10.548498
7.071068 -3.277620 10.087478
7.071068 -5.303301 9.185587
7.071068 -7.097202 7.882241
7.071068 -8.580921 6.234404
7.071068 -9.689613 4.314094
7.071068 -10.374822 2.205236
7.071068 -10.606602 0.000000
7.071068 -10.374822 -2.205236
7.071068 -9.689613 -4.314094
7.071068 -8.580921 -6.234404
7.071068 -7.097202 -7.882241
7.071068 -5.303301 -9.185587
7.071068 -3.277620 -10.087478
7.071068 -1.108692 -10.548498
7.071068 1.108692 -10.548498
7.071068 3.277620 -10.087478
7.071068 5.303301 -9.185587
7.071068 7.097202 -7.882241
7.071068 8.580921 -6.234404
7.071068 9.689613 -4.314094
7.071068 10.374822 -2.205236
0.000000 15.000000 0.000000
0.000000 14.265848 4.635255
0.000000 12.135255 8.816779
0.000000 8.816779 12.135255
0.000000 4.635255 14.265848
0.000000 0.000000 15.000000
0.000000 -4.635255 14.265848
0.000000 -8.816779 12.135255
0.000000 -12.135255 8.816779
0.000000 -14.265848 4.635255
0.000000 -15.000000 0.000000
0.000000 -14.265848 -4.635255
0.000000 -12.135255 -8.816779
0.000000 -8.816779 -12.135255
0.000000 -4.635255 -14.265848
0.000000 -0.000000 -15.000000
0.000000 4.635255 -14.265848
0.000000 8.816779 -12.135255
0.000000 12.135255 -8.816779
0.000000 14.265848 -4.635255
-7.071068 10.606602 0.000000
-7.071068 10.374822 2.205236
-7.071068 9.689613 4.314094
-7.071068 8.580921 6.234404
-7.071068 7.097202 7.882241
-7.071068 5.303301 9.185587
-7.071068 3.277620 10.087478
-7.071068 1.108692 10.548498
-7.071068 -1.108692 10.548498
-7.071068 -3.277620 10.087478
-7.071068 -5.303301 9.185587
-7.071068 -7.097202 7.882241
-7.071068 -8.580921 6.234404
-7.071068 -9.689613 4.314094
-7.071068 -10.374822 2.205236
-7.071068 -10.606602 0.000000
-7.071068 -10.374822 -2.205236
-7.071068 -9.689613 -4.314094
-7.071068 -8.580921 -6.234404
-7.071068 -7.097202 -7.882241
-7.071068 -5.303301 -9.185587
-7.071068 -3.277620 -10.087478
-7.071068 -1.108692 -10.548498
-7.071068 1.108692 -10.548498
-7.071068 3.277620 -10.087478
-7.071068 5.303301 -9.185587
-7.071068 7.097202 -7.882241
-7.071068 8.580921 -6.234404
-7.071068 9.689613 -4.314094
-7.071068 10.374822 -2.205236
-10.000000 0.000000 0.000000

An ellipsoid with
5 divisions on x
20 divisions on the y-z
x axis: 10, y axis: 15, z axis: 15
a dicreasing rate of 1.5
